date,home_team,away_team,home_score,away_score,city
2018,Russia,Saudi Arabia,5,0,Luzhniki Stadium Moscow
2018,Egypt,Uruguay,0,1,Ekaterinburg Arena Ekaterinburg
2018,Morocco,IR Iran,0,1,Saint Petersburg Stadium St. Petersburg
2018,Portugal,Spain,3,3,Fisht Stadium Sochi
2018,France,Australia,2,1,Kazan Arena Kazan
2018,Argentina,Iceland,1,1,Spartak Stadium Moscow
2018,Peru,Denmark,0,1,Mordovia Arena Saransk
2018,Croatia,Nigeria,2,0,Kaliningrad Stadium Kaliningrad
2018,Costa Rica,Serbia,0,1,Samara Arena Samara
2018,Germany,Mexico,0,1,Luzhniki Stadium Moscow
2018,Brazil,Switzerland,1,1,Rostov Arena Rostov-On-Don
2018,Sweden,Korea Republic,1,0,Nizhny Novgorod Stadium Nizhny Novgorod
2018,Belgium,Panama,3,0,Fisht Stadium Sochi
2018,Tunisia,England,1,2,Volgograd Arena Volgograd
2018,Colombia,Japan,1,2,Mordovia Arena Saransk
2018,Poland,Senegal,1,2,Spartak Stadium Moscow
2018,Russia,Egypt,3,1,Saint Petersburg Stadium St. Petersburg
2018,Portugal,Morocco,1,0,Luzhniki Stadium Moscow
2018,Uruguay,Saudi Arabia,1,0,Rostov Arena Rostov-On-Don
2018,IR Iran,Spain,0,1,Kazan Arena Kazan
2018,Denmark,Australia,1,1,Samara Arena Samara
2018,France,Peru,1,0,Ekaterinburg Arena Ekaterinburg
2018,Argentina,Croatia,0,3,Nizhny Novgorod Stadium Nizhny Novgorod
2018,Brazil,Costa Rica,2,0,Saint Petersburg Stadium St. Petersburg
2018,Nigeria,Iceland,2,0,Volgograd Arena Volgograd
2018,Serbia,Switzerland,1,2,Kaliningrad Stadium Kaliningrad
2018,Belgium,Tunisia,5,2,Spartak Stadium Moscow
2018,Korea Republic,Mexico,1,2,Rostov Arena Rostov-On-Don
2018,Germany,Sweden,2,1,Fisht Stadium Sochi
2018,England,Panama,6,1,Nizhny Novgorod Stadium Nizhny Novgorod
2018,Japan,Senegal,2,2,Ekaterinburg Arena Ekaterinburg
2018,Poland,Colombia,0,3,Kazan Arena Kazan
2018,Uruguay,Russia,3,0,Samara Arena Samara
